ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UseTreeRandomId,Use `Tree.randomId()` in LST constructors,Replaces occurrences of `UUID.randomUUID()` with `Tree.randomId()` when passed as an argument to a constructor call for LST elements.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.ExamplesExtractor,Extract documentation examples from tests,"Extract the before/after sources from tests annotated with `@DocumentExample`, and generate a YAML file with those examples to be shown in the documentation to show usage.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.GenerateDeprecatedMethodRecipes,Generate `InlineMethodCalls` recipes for deprecated delegating methods,"Finds `@Deprecated` method declarations whose body is a single delegation call to another method in the same class, and generates a declarative YAML recipe file containing `InlineMethodCalls` entries for each.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.JavaRecipeBestPractices,Java Recipe best practices,Best practices for Java recipe development.,47,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.RecipeTestingBestPractices,Recipe testing best practices,Best practices for testing recipes.,53,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.RecipeNullabilityBestPractices,Recipe nullability best practices,Use JSpecify nullable annotations; drop Nonnull annotations; use `NullMarked` on `package-info.java` instead.,79,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.UpgradeTestsToJava21,Migrate tests to Java 21,Use Java 21 features in tests.,659,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.jspecify.MigrateFromOpenRewriteAnnotations,Migrate from OpenRewrite annotations to JSpecify,Migrate from OpenRewrite's JSR-305 meta-annotations to JSpecify.,13,JSpecify,Java,Recipes for adopting [JSpecify](https://jspecify.dev/) nullability annotations.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.recipes.rewrite.InlineMethods,Inline methods annotated with `@InlineMe`,Automatically generated recipes to inline method calls based on `@InlineMe` annotations discovered in the type table.,41,Rewrite,Recipes,,,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.recipes.rewrite.OpenRewriteRecipeBestPractices,OpenRewrite recipe best practices,Best practices for OpenRewrite recipe development.,927,Rewrite,Recipes,,,,
